Frequency,,NiO,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RT,50,100,150,200,250,,RT,50,100,150,200,250,,RT,50,100,150,200,250,,RT,50,100,150,200,250
,,Dielectric Constant,,,,,,,Dielectric Loss,,,,,,,Impedence,,,,,,,AC Conductivity,,,,,
50,,11815.86805,10822.36959,2986.59188,320.27298,1256.00285,6079.5417,,19.73,7.96206,4.87059,59.74118,73.625,101.23529,,45654.9,168182,387277,187565,70689.5,18237.5,,2.77E-04,6.94E-05,3.19E-05,6.79E-05,1.80E-04,6.98E-04
74.3676,,7471.29651,7531.98826,2126.25293,247.65713,1060.60447,4676.97425,,17.315,6.215,4.49118,47.42353,56.975,71.61765,,44557.4,153079,366168,181752,68511.8,17489.8,,2.84E-04,7.70E-05,3.37E-05,7.00E-05,1.86E-04,7.28E-04
110.6108,,4716.14134,5162.56574,1525.96395,220.99359,838.04793,3535.53515,,16.315,5.78632,4.06103,37.71765,43.6,55.69118,,43571.3,140809,346762,180813,67103.6,17060.7,,2.91E-04,8.46E-05,3.55E-05,7.04E-05,1.90E-04,7.46E-04
164.5172,,2977.73471,3494.03874,1120.38893,239.99625,674.54255,2691.99031,,15.835,5.44338,3.76324,29.77647,36.3,43.16176,,42669.1,130397,331920,180046,65721.8,16742.7,,2.97E-04,9.22E-05,3.71E-05,7.07E-05,1.94E-04,7.60E-04
244.695,,1888.43215,2337.6316,824.84701,205.67903,534.49717,2056.73277,,15.355,5.10044,3.50294,23.28235,29.325,35.77941,,41855.5,121551,316286,176149,65450.5,16386.6,,3.03E-04,9.97E-05,3.87E-05,7.22E-05,1.94E-04,7.76E-04
363.9477,,1205.09569,1557.82676,619.92142,190.80445,448.76954,1560.93252,,14.98,4.895,3.24507,18.5753,24.575,29.41176,,41120,114018,302012,174742,64115.9,15960.4,,3.09E-04,1.07E-04,4.03E-05,7.27E-05,1.98E-04,7.97E-04
541.3184,,775.20947,1033.75689,619.92142,182.347,365.02326,1186.97012,,14.675,4.74294,2.99401,13.7917,20.675,24.54412,,40440.4,107500,286659,173211,62894,15580,,3.14E-04,1.14E-04,4.21E-05,7.33E-05,2.02E-04,8.16E-04
805.131,,505.46981,687.94765,363.15981,166.48461,299.8943,914.64376,,14.475,4.63618,2.72073,9.93363,18.15,20.3873,,39819.6,101821,270631,171148,61484.6,15283.8,,3.19E-04,1.21E-04,4.42E-05,7.40E-05,2.07E-04,8.32E-04
1197.513,,336.17995,461.94458,285.77891,151.56689,252.92973,725.77035,,14.2,4.54559,2.47812,7.32883,15.2367,17.435,,39235.1,96788.2,251935,169561,60009.1,15283.8,,3.24E-04,1.28E-04,4.68E-05,7.44E-05,2.11E-04,8.32E-04
1781.124,,229.22386,314.92849,229.30007,140.1144,218.0992,578.03965,,13.86,4.46147,2.1741,5.49498,9.86829,15.1948,,38693.2,92279.9,234534,164972,58824.2,14574.4,,3.28E-04,1.34E-04,4.93E-05,7.59E-05,2.15E-04,8.72E-04
2649.158,,161.52114,219.50829,187.93018,131.34364,190.04813,463.10061,,13.515,4.39878,1.90836,4.03754,7.80659,12.8926,,38269.6,88136.3,214405,158726,57476.9,14224,,3.32E-04,1.41E-04,5.25E-05,7.78E-05,2.20E-04,8.92E-04
3940.231,,118.31972,157.39307,156.65689,122.65413,168.97066,378.60953,,12.905,4.2631,1.65433,2.98918,6.05514,10.9747,,37725,84213.3,192399,150331,55517,13893.1,,3.36E-04,1.47E-04,5.66E-05,8.03E-05,2.26E-04,9.13E-04
5860.511,,90.26535,116.41485,132.64763,114.57181,151.80701,312.63943,,11.5816,4.05341,1.42553,2.23644,4.64416,9.14691,,37208.5,80471.1,169397,140718,53715.1,13483.9,,3.41E-04,1.54E-04,6.13E-05,8.25E-05,2.32E-04,9.39E-04
8716.644,,71.79427,88.97905,113.92248,107.40958,138.57503,261.6805,,9.91967,3.71263,1.22958,1.66999,3.54201,7.65054,,36674.4,76715.4,145716,125383,51231.8,13075.8,,3.45E-04,1.60E-04,6.76E-05,8.71E-05,2.39E-04,9.65E-04
12964.72,,59.54937,70.50293,98.79081,100.28373,127.16884,221.82036,,8.1473,3.28544,1.06689,1.28509,2.6753,6.21497,,36109.4,72895.6,122351,108327,48472.3,12597.7,,3.50E-04,1.67E-04,7.56E-05,9.25E-05,2.46E-04,9.98E-04
19283.1,,51.41185,57.95609,86.4654,93.11733,117.82337,191.22142,,6.43112,2.79837,0.93343,1.01775,2.05135,5.02905,,35470.1,68859.6,100428,89233.7,44186.5,12107.1,,3.55E-04,1.74E-04,8.61E-05,1.02E-04,2.59E-04,0.00103
28680.76,,46.10315,44.95086,76.21078,86.02038,109.51877,168.15971,,4.88177,2.54425,0.82313,0.84082,1.56564,3.9783,,34726.1,64412.8,80822.7,70984.4,39282.9,11526,,3.59E-04,1.81E-04,9.96E-05,1.15E-04,2.73E-04,0.00107
42658.39,,42.64052,43.83336,67.75462,78.81803,102.10621,150.33609,,3.6059,1.96858,0.73745,0.72876,1.21708,3.13008,,33627.1,58086.8,63720.1,54970.1,33341.1,10824.3,,3.65E-04,1.92E-04,1.18E-04,1.36E-04,2.95E-04,0.00112
63448.05,,40.19861,39.79069,60.37815,71.59786,95.15103,136.45665,,2.62797,1.42286,0.6759,0.6637,0.98026,2.44648,,31912.8,54233.9,49451.4,41902.8,27047.1,9980.36,,3.73E-04,1.92E-04,1.43E-04,1.67E-04,3.29E-04,0.00118
94369.59,,38.15974,36.7656,53.68725,64.08666,88.11217,124.68495,,1.92109,1.10457,0.63555,0.6377,0.8241,1.91949,,29346.2,44213.9,38079.6,31847.3,21206.2,8975.7,,3.85E-04,2.31E-04,1.78E-04,2.14E-04,3.81E-04,0.00126
140360.8,,36.2566,27.05477,47.56732,56.39933,80.61693,114.2332,,1.42248,0.98324,0.60806,0.63738,0.73334,1.52272,,25862.9,35942.5,29247.5,24349.5,16282.9,7820.13,,4.02E-04,2.67E-04,2.25E-04,2.80E-04,4.61E-04,0.00136
208765.9,,25.50103,23.07552,33.24502,39.78552,63.60886,95.64278,,1.17,0.82044,0.63088,0.82836,0.80524,1.36074,,23913.9,33231.8,26028.9,21207.9,13401.4,6776.51,,4.42E-04,2.74E-04,2.98E-04,3.82E-04,5.94E-04,0.00146
310508.5,,26.70681,24.14902,31.72406,35.32314,57.82151,89.31134,,1.00472,0.70579,0.65345,0.77641,0.74747,1.09534,,19465.7,25134.3,19416.3,16449.4,10178,5556.44,,4.62E-04,3.19E-04,3.57E-04,4.73E-04,8.43E-04,0.00166
461835.4,,8.3102,12.0229,4.9956,4.67434,15.51874,46.40223,,1.055,0.69206,0.66838,0.97647,1.075,1.01471,,13888.6,16517.2,15067.9,13037,9060.42,4840.04,,8.91E-04,5.94E-04,7.55E-04,9.69E-04,0.00132,0.00223
686911.9,,22.76092,25.56904,20.10966,23.60105,6.62442,20.11685,,1.05,0.69206,0.69926,1.04706,1.325,1.08824,,8352.17,8324.06,8492.17,7754.95,6680.64,4246.68,,0.00125,9.48E-04,0.00115,0.00137,0.00189,0.00285
1.02E+06,,25.2379,31.38012,20.10966,30.15708,6.62442,20.11685,,1.14694,0.66691,0.68382,1.00465,1.325,1.08824,,5832.86,5095.83,8492.17,5238.31,6680.64,4246.68,,0.00164,0.00144,0.00156,0.00172,0.0024,0.00331
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
--,,,,,,,,,,,,,,,,,,,,,,,,,,,,
